"1072 AE","Present day"
"1071 AE","Bay of Sirens is renamed Sea of Sorrows"
"1070 AE","Guild Wars end"
"1070 AE","Charr invade human kingdoms"
"1013 AE","Guild Wars begin"
"898 AE","Great Northern Wall is erected"
"851 AE","Lord Odran enters the Rift"
"358 AE","Kryta becomes an independent nation"
"300 AE","Kryta becomes a colony"
"221 AE","Cantha begins trading with Tyria"
"174 AE","Serpents leave the world of men"
"2 AE","Orr becomes an independent nation"
"1 BE","Gods give magic to races of Tyria"
"100 BE","High-planes human settlements become known as Ascalon"
"205 BE","Humans appear on Tyrian continent"
"1769 BE","Serpents arrive in Tyria"
"10,000 BE","Last sign of Giganticus Lupicus (the great giants) walking on Tyrian continent (best guess)"
